Brand,Body,Mileage,EngineV,Engine Type,Registration,Year,Model,Price
Mercedes-Benz,sedan,180,3.2,Diesel,yes,2008,S 320,24500
Volkswagen,crossover,62,2,Diesel,yes,2012,Passat CC,24500
Mitsubishi,crossover,11,2.5,Diesel,yes,2012,Pajero Sport,24500
BMW,sedan,114,NA,Petrol,yes,2005,M5,24500
Toyota,crossover,260,4.7,Gas,yes,2003,Land Cruiser 100,24500
Mercedes-Benz,crossover,236,5,Petrol,yes,2000,G 500,24500
Mercedes-Benz,sedan,180,2.2,Diesel,yes,2012,E-Class,24500
Mercedes-Benz,other,77,1.8,Petrol,yes,2011,C-Class,24500
Audi,sedan,122,4,Diesel,yes,2008,A8,24500
Mercedes-Benz,sedan,150,3.5,Gas,yes,2008,S 350,24300
Volkswagen,sedan,1,1.6,Diesel,yes,2016,Jetta,24300
Audi,sedan,43,1.8,Petrol,yes,2012,A4,24300
Renault,van,1,1.6,Diesel,yes,2015,Trafic,24193.65
Toyota,sedan,1,2.5,Petrol,yes,2016,Camry,24171.42
BMW,vagon,112,3,Petrol,yes,2011,X1,24100
BMW,crossover,108,2,Diesel,yes,2012,X1,24000
Volkswagen,sedan,105,2,Diesel,yes,2012,Passat CC,24000
Volkswagen,sedan,67,1.8,Petrol,yes,2012,Passat CC,24000
Mitsubishi,crossover,20,2.5,Diesel,yes,2013,Pajero Sport,24000
Toyota,crossover,73,4,Petrol,yes,2008,Land Cruiser Prado,24000
Toyota,crossover,132,4,Petrol,yes,2008,Land Cruiser Prado,24000
Toyota,crossover,152,4,Gas,yes,2006,Land Cruiser Prado,24000
Toyota,crossover,270,4.2,Diesel,yes,1994,Land Cruiser 80,24000
Volkswagen,sedan,3,1.6,Diesel,yes,2016,Jetta,24000
Toyota,sedan,51,2.5,Gas,yes,2014,Camry,24000
Toyota,sedan,60,2.5,Gas,yes,2014,Camry,24000
Toyota,sedan,16,2.5,Petrol,yes,2013,Camry,24000
BMW,crossover,194,3,Petrol,yes,2007,X5,23999
Mercedes-Benz,other,150,NA,Diesel,yes,2010,Vito,23999
Mercedes-Benz,sedan,204,3.5,Petrol,yes,2008,S 350,23999
Volkswagen,sedan,88,NA,Other,yes,2012,Passat CC,23999
Volkswagen,sedan,80,1.8,Petrol,yes,2012,Passat CC,23999
Volkswagen,sedan,80,2,Diesel,yes,2014,Passat B7,23999
Volkswagen,sedan,0,1.6,Diesel,yes,2016,Jetta,23999
Volkswagen,sedan,0,1.6,Diesel,yes,2016,Jetta,23999
Volkswagen,sedan,1,1.6,Diesel,yes,2016,Jetta,23999
BMW,crossover,235,3,Diesel,yes,2007,X5,23900
BMW,crossover,162,4.8,Petrol,yes,2007,X5,23900
BMW,crossover,60,2,Petrol,yes,2013,X1,23900
Mercedes-Benz,sedan,187,5.5,Petrol,yes,2007,S 550,23900
Mercedes-Benz,sedan,96,3.5,Petrol,yes,2009,S 350,23900
Mercedes-Benz,sedan,124,1.8,Petrol,yes,2012,E-Class,23900
Mitsubishi,crossover,1,1.8,Petrol,yes,2015,ASX,23900
Audi,sedan,180,3,Diesel,yes,2009,A6,23900
Audi,crossover,205,4.2,Gas,yes,2007,Q7,23800
Mitsubishi,crossover,45,2.5,Diesel,yes,2015,Pajero Sport,23800
Mercedes-Benz,sedan,195,2.2,Diesel,yes,2010,E-Class,23800
BMW,crossover,117,2,Diesel,yes,2010,X1,23700
Mercedes-Benz,sedan,86,1.8,Gas,yes,2013,E-Class,23700
Toyota,sedan,100,2.5,Gas,yes,2014,Camry,23700
Toyota,crossover,125,3.5,Gas,yes,2013,Highlander,23660
Toyota,sedan,105,2.5,Gas,yes,2012,Camry,23600
BMW,crossover,140,4.8,Petrol,yes,2008,X5,23500
BMW,crossover,180,4.8,Petrol,yes,2008,X5,23500
BMW,crossover,74,2,Petrol,yes,2010,X1,23500
Mercedes-Benz,van,161,2.2,Diesel,yes,2011,Vito,23500
Mercedes-Benz,van,170,2.2,Diesel,yes,2011,Vito,23500
Volkswagen,crossover,48,2,Diesel,yes,2012,Tiguan,23500
Mercedes-Benz,sedan,200,5.5,Petrol,yes,2008,S 550,23500
Audi,crossover,116,4.2,Petrol,yes,2008,Q7,23500
Audi,crossover,245,3,Diesel,yes,2007,Q7,23500
Audi,crossover,119,4.2,Gas,yes,2007,Q7,23500
Toyota,sedan,80,2.5,Gas,yes,2014,Camry,23500
Toyota,sedan,75,2.5,Gas,yes,2011,Camry,23500
Audi,other,83,2,Petrol,yes,2009,A5,23500
Toyota,crossover,174,4,Gas,yes,2008,Land Cruiser Prado,23499
Audi,crossover,105,4.2,Gas,yes,2007,Q7,23400
Toyota,crossover,120,4,Petrol,yes,2007,Land Cruiser Prado,23400
Toyota,sedan,69,2.5,Gas,yes,2014,Camry,23400
Audi,sedan,112,2,Diesel,yes,2012,A4,23400
Audi,other,150,4.2,Petrol,yes,2007,Q7,23333
Toyota,crossover,93,2.7,Other,yes,2011,Venza,23300
Toyota,crossover,40,2,Petrol,yes,2014,Rav 4,23300
Volkswagen,sedan,115,1.8,Petrol,yes,2012,Passat CC,23300
Toyota,crossover,160,4,Petrol,yes,2008,Land Cruiser Prado,23200
Mercedes-Benz,sedan,58,1.8,Petrol,yes,2010,C-Class,23200
Audi,other,115,1.8,Petrol,yes,2008,S4,23000
Audi,crossover,167,3.6,Petrol,yes,2008,Q7,23000
Audi,crossover,180,3.6,Gas,yes,2007,Q7,23000
Audi,crossover,240,4.2,Petrol,yes,2007,Q7,23000
Volkswagen,sedan,75,2,Petrol,yes,2013,Passat CC,23000
Volkswagen,sedan,80,2,Other,yes,2011,Passat CC,23000
Mitsubishi,crossover,125,3,Gas,yes,2008,Pajero Wagon,23000
Toyota,other,211,4,Gas,yes,2007,Land Cruiser Prado,23000
Toyota,crossover,233,4,Gas,yes,2006,Land Cruiser Prado,23000
BMW,other,100,NA,Other,yes,2005,630,23000
Audi,crossover,125,4.2,Petrol,yes,2008,Q7,22999
Toyota,crossover,152,4,Gas,yes,2008,Land Cruiser Prado,22999
Toyota,crossover,132,2.7,Gas,yes,2012,Venza,22900
Mercedes-Benz,sedan,131,5.5,Gas,yes,2008,S 500,22900
Toyota,crossover,34,2,Petrol,yes,2012,Rav 4,22900
Mitsubishi,crossover,69,2.4,Petrol,yes,2014,Outlander XL,22900
Mitsubishi,crossover,69,2.4,Petrol,yes,2014,Outlander,22900
Volkswagen,sedan,45,2,Petrol,yes,2013,Jetta,22900
Volkswagen,sedan,48,2,Petrol,yes,2013,Jetta,22900
Mercedes-Benz,sedan,197,2.2,Diesel,yes,2010,E-Class,22900
Mercedes-Benz,sedan,74,2.2,Diesel,yes,2011,C-Class,22900
Toyota,sedan,60,2.5,Petrol,yes,2012,Camry,22900
Toyota,sedan,84,2.5,Petrol,yes,2012,Camry,22900
BMW,other,25,3,Petrol,yes,2008,325,22900
Mitsubishi,crossover,43,2.4,Petrol,yes,2013,Outlander,22800
Toyota,other,55,2.5,Petrol,yes,2013,Camry,22800
Volkswagen,other,161,2,Diesel,yes,2011,Amarok,22800
Audi,sedan,122,2,Petrol,yes,2011,A6,22800
Audi,sedan,184,2.7,Diesel,yes,2010,A6,22800
Mitsubishi,crossover,1,2,Petrol,yes,2016,Outlander,22711.65
BMW,crossover,216,4.8,Petrol,yes,2007,X5,22700
Mercedes-Benz,sedan,140,5,Petrol,yes,2007,S 500,22700
Toyota,crossover,128,4,Gas,yes,2007,Land Cruiser Prado,22700
Mercedes-Benz,sedan,125,2.2,Diesel,yes,2010,E-Class,22700
BMW,crossover,69,3,Petrol,no,2013,X6,22600
Volkswagen,crossover,187,3,Diesel,yes,2008,Touareg,22600
Mercedes-Benz,crossover,165,3,Diesel,yes,2007,ML 320,22600
Volkswagen,crossover,151,3,Diesel,yes,2009,Touareg,22500
Volkswagen,other,200,2,Petrol,yes,2011,Scirocco,22500
Audi,sedan,159,5.2,Petrol,yes,2008,S8,22500
Audi,other,71,3.6,Petrol,yes,2007,Q7,22500
Mitsubishi,other,57,2.5,Other,yes,2013,L 200,22500
Mercedes-Benz,sedan,213,2.2,Diesel,yes,2012,E-Class,22500
Mercedes-Benz,sedan,164,1.8,Gas,yes,2012,E-Class,22500
Volkswagen,van,62,2,Diesel,yes,2011,Caravelle,22500
Toyota,sedan,12,2.5,Petrol,yes,2014,Camry,22500
Audi,sedan,124,3,Diesel,yes,2008,A8,22500
Audi,sedan,99,2,Other,yes,2010,A5,22500
Audi,vagon,175,2,Gas,yes,2010,A4 Allroad,22500
BMW,sedan,179,3,Diesel,yes,2007,730,22500
BMW,other,100,3,Petrol,yes,2007,630,22500
Mitsubishi,crossover,96,2.5,Diesel,yes,2011,Pajero Sport,22400
Volkswagen,hatch,51,2,Petrol,yes,2013,New Beetle,22200
BMW,hatch,42,1.6,Petrol,yes,2013,116,22100
Volkswagen,crossover,123,3,Diesel,yes,2009,Touareg,22000
Volkswagen,crossover,98,2,Diesel,yes,2013,Tiguan,22000
Mercedes-Benz,van,236,2.2,Diesel,yes,2012,Sprinter 313,22000
Audi,crossover,152,4.2,Petrol,yes,2007,Q7,22000
Volkswagen,sedan,26,1.8,Petrol,yes,2011,Passat CC,22000
Volkswagen,sedan,65,2,Petrol,yes,2012,Passat B7,22000
Mercedes-Benz,crossover,160,4,Diesel,yes,2008,ML 400,22000
Mercedes-Benz,crossover,225,3.5,Gas,yes,2007,ML 350,22000
Toyota,crossover,155,2.7,Gas,yes,2008,Land Cruiser Prado,22000
Volkswagen,hatch,40,1.4,Petrol,yes,2013,Golf VII,22000
Mercedes-Benz,other,53,3,Petrol,yes,2007,CLK 280,22000
Mercedes-Benz,sedan,110,1.8,Petrol,yes,2011,C-Class,22000
Toyota,sedan,73,3.5,Petrol,yes,2010,Camry,22000
BMW,other,138,4.8,Petrol,yes,2007,650,22000
Toyota,crossover,69,3.5,Petrol,yes,2008,Highlander,21999
Mercedes-Benz,sedan,200,3,Diesel,yes,2008,E-Class,21999
Toyota,sedan,80,2.5,Other,yes,2012,Camry,21999
Toyota,other,65,2.5,Petrol,yes,2012,Camry,21999
Toyota,crossover,141,2.7,Gas,yes,2010,Venza,21950
Volkswagen,crossover,136,3,Diesel,yes,2008,Touareg,21900
Volkswagen,van,166,2,Diesel,yes,2011,T6 (Transporter),21900
Audi,crossover,183,4.2,Petrol,yes,2007,Q7,21900
Volkswagen,sedan,107,3,Diesel,yes,2009,Phaeton,21900
Toyota,crossover,110,4,Gas,yes,2006,FJ Cruiser,21900
Toyota,sedan,88,2.5,Petrol,yes,2012,Camry,21900
Audi,other,114,3.2,Petrol,yes,2009,A5,21900
BMW,other,25,2.5,Petrol,yes,2007,325,21900
Toyota,crossover,63,2,Petrol,yes,2013,Rav 4,21800
Toyota,crossover,170,4,Gas,yes,2006,Land Cruiser Prado,21800
Audi,vagon,172,2,Diesel,yes,2011,A4,21800
BMW,crossover,125,3,Petrol,yes,2007,X5,21700
BMW,crossover,101,2.5,Gas,yes,2007,X3,21700
Audi,sedan,167,3,Petrol,yes,2009,A6,21700
BMW,sedan,259,3,Diesel,yes,2007,730,21700
BMW,crossover,200,4.8,Other,yes,2007,X5,21600
Toyota,sedan,66,2.5,Petrol,yes,2011,Camry,21600
Volkswagen,crossover,58,1.4,Petrol,yes,2014,Tiguan,21550
BMW,other,72,3,Petrol,yes,2007,Z4,21500
Volkswagen,crossover,178,3,Diesel,yes,2008,Touareg,21500
Toyota,crossover,89,2,Petrol,yes,2012,Rav 4,21500
Mitsubishi,crossover,47,2.4,Petrol,yes,2012,Outlander XL,21500
Mercedes-Benz,crossover,148,6.2,Petrol,yes,2008,ML 63 AMG,21500
Mercedes-Benz,crossover,142,3.5,Petrol,yes,2008,ML 350,21500
Toyota,crossover,135,2,Gas,yes,2007,Land Cruiser Prado,21500
Volkswagen,sedan,2,1.6,Diesel,yes,2016,Jetta,21500
Volkswagen,sedan,1,1.4,Petrol,yes,2015,Jetta,21500
Mercedes-Benz,sedan,146,1.8,Gas,yes,2012,E-Class,21500
Mercedes-Benz,sedan,159,1.8,Gas,yes,2012,E-Class,21500
Audi,vagon,165,2,Diesel,yes,2010,A6,21500
BMW,other,105,3,Petrol,yes,2008,335,21335
Mercedes-Benz,crossover,190,6.3,Petrol,yes,2007,ML 63 AMG,21300
Mercedes-Benz,crossover,143,3.2,Diesel,yes,2007,ML 320,21300
Mercedes-Benz,crossover,114,4.7,Petrol,yes,2007,GL 450,21300
Toyota,crossover,135,4,Gas,yes,2007,Land Cruiser Prado,21200
Mercedes-Benz,vagon,206,2.1,Diesel,yes,2011,C-Class,21200
Volkswagen,crossover,130,2.5,Diesel,yes,2008,Touareg,21000
Volkswagen,crossover,173,3,Diesel,yes,2008,Touareg,21000
Toyota,crossover,74,2,Petrol,yes,2011,Rav 4,21000
Volkswagen,vagon,58,2,Diesel,yes,2013,Passat B7,21000
Volkswagen,other,93,2,Diesel,yes,2012,Passat B7,21000
Mitsubishi,crossover,122,3.2,Diesel,yes,2009,Pajero Wagon,21000
Mitsubishi,crossover,98,2.5,Diesel,yes,2011,Pajero Sport,21000
Mercedes-Benz,crossover,135,3.5,Petrol,yes,2007,ML 350,21000
Mercedes-Benz,crossover,208,3.5,Petrol,yes,2007,ML 350,21000
Volkswagen,hatch,22,1.2,Other,yes,2014,Golf VII,21000
Mitsubishi,crossover,29,2,Gas,yes,2014,ASX,21000
Audi,sedan,210,4.2,Petrol,yes,2009,A8,21000
Audi,hatch,34,1.4,Petrol,yes,2013,A3,21000
BMW,sedan,186,3,Petrol,yes,2007,530,21000
BMW,other,130,2.5,Petrol,yes,2006,325,21000
BMW,hatch,79,1.6,Petrol,yes,2013,118,21000
BMW,crossover,170,4.8,Petrol,yes,2008,X5,20999
Toyota,sedan,77,2.5,Gas,yes,2012,Camry,20999
Renault,crossover,0,1.5,Diesel,yes,2016,Captur,20996.24
BMW,crossover,230,3,Diesel,yes,2006,X5,20900
Audi,crossover,185,4.2,Petrol,yes,2006,Q7,20900
Volkswagen,sedan,82,2,Diesel,yes,2012,Passat B7,20900
Volkswagen,sedan,122,2,Petrol,yes,2012,Passat B7,20900
Mercedes-Benz,other,250,3.2,Diesel,yes,2007,ML 320,20900
Toyota,crossover,69,2.7,Petrol,yes,2008,Land Cruiser Prado,20900
Toyota,crossover,180,4.7,Gas,yes,2004,Land Cruiser 100,20900
Volkswagen,sedan,25,2,Diesel,yes,2015,Jetta,20900
Toyota,sedan,18,2.5,Other,yes,2013,Camry,20900
Toyota,sedan,70,2.5,Petrol,yes,2012,Camry,20900
Toyota,crossover,1,2,Petrol,yes,2016,Rav 4,20859.15
Volkswagen,crossover,151,3,Diesel,yes,2008,Touareg,20800
Mitsubishi,crossover,31,2.4,Petrol,yes,2011,Outlander XL,20800
Toyota,crossover,70,2.7,Petrol,yes,2008,Land Cruiser Prado,20800
Toyota,crossover,107,4,Petrol,yes,2006,Land Cruiser Prado,20800
Toyota,sedan,49,3.5,Petrol,yes,2011,Camry,20800
Volkswagen,other,160,2,Diesel,yes,2012,Amarok,20800
Toyota,vagon,0,1.6,Petrol,yes,2016,Auris,20711.25
Volkswagen,vagon,74,2,Diesel,yes,2013,Passat B7,20700
Volkswagen,sedan,107,1.8,Petrol,yes,2012,Passat CC,20600
BMW,crossover,285,4.8,Petrol,yes,2006,X5,20500
BMW,crossover,73,2,Petrol,yes,2011,X1,20500
Mercedes-Benz,sedan,56,5,Other,yes,2003,SL 500 (550),20500
Mercedes-Benz,sedan,222,5.5,Petrol,yes,2006,S 500,20500
Mercedes-Benz,sedan,222,5.5,Petrol,yes,2006,S 500,20500
Mitsubishi,crossover,109,3.2,Diesel,yes,2009,Pajero Wagon,20500
Toyota,crossover,139,4,Gas,yes,2005,Land Cruiser Prado,20500
Toyota,crossover,225,4.7,Gas,yes,2003,Land Cruiser 100,20500
Volkswagen,hatch,56,2,Diesel,yes,2014,Golf VII,20500
Volkswagen,hatch,800,2,Diesel,yes,2013,Golf VII,20500
Mercedes-Benz,sedan,173,1.8,Gas,yes,2011,E-Class,20500
Mercedes-Benz,sedan,173,1.8,Gas,yes,2011,E-Class,20500
Mercedes-Benz,sedan,235,2.2,Diesel,yes,2007,E-Class,20500
Mercedes-Benz,sedan,193,3.5,Other,yes,2006,CLS 350,20500
Toyota,sedan,105,2.5,Petrol,yes,2013,Camry,20500
Audi,sedan,155,3,Petrol,yes,2010,A6,20500
Audi,sedan,106,1.8,Petrol,yes,2011,A4,20500
BMW,other,114,NA,Other,yes,2008,325,20500
Volkswagen,van,1,1.6,Diesel,yes,2015,Caddy,20477.54
Mercedes-Benz,sedan,190,1.8,Gas,yes,2011,E-Class,20400
Mercedes-Benz,sedan,190,1.8,Gas,yes,2011,E-Class,20400
Mercedes-Benz,sedan,190,1.8,Gas,yes,2011,E-Class,20400
Volkswagen,vagon,111,2,Diesel,yes,2012,Passat B7,20350
Volkswagen,crossover,139,3,Diesel,yes,2008,Touareg,20300
Volkswagen,other,30,1.4,Petrol,yes,2013,Scirocco,20300
Mitsubishi,other,30,NA,Diesel,yes,2014,L 200,20300
Mercedes-Benz,sedan,198,1.8,Gas,yes,2011,E-Class,20300
Mercedes-Benz,sedan,198,1.8,Gas,yes,2011,E-Class,20300
Mercedes-Benz,sedan,198,1.8,Gas,yes,2011,E-Class,20300
Volkswagen,hatch,22,1.2,Petrol,yes,2014,Golf VII,20200
Mercedes-Benz,sedan,69,2,Petrol,yes,2010,E-Class,20200
Toyota,crossover,48,2,Petrol,yes,2012,Rav 4,20100
Renault,sedan,2,1.5,Diesel,yes,2015,Fluence,20007
Volkswagen,crossover,115,2.5,Diesel,yes,2008,Touareg,20000
Toyota,van,135,2.4,Gas,yes,2006,Previa,20000
Volkswagen,sedan,102,1.8,Petrol,yes,2011,Passat CC,20000
Mitsubishi,crossover,135,2.5,Diesel,yes,2011,Pajero Sport,20000
Mercedes-Benz,crossover,251,5,Gas,yes,2002,ML 500,20000
Toyota,crossover,94,4.5,Petrol,yes,2005,Land Cruiser 105,20000
Toyota,crossover,250,4.2,Diesel,yes,2000,Land Cruiser 100,20000
BMW,sedan,230,6,Petrol,yes,2008,760,20000
BMW,crossover,227,3,Diesel,yes,2006,X5,19999
Volkswagen,van,152,2,Diesel,yes,2012,Sharan,19999
Audi,crossover,117,4.2,Petrol,yes,2007,Q7,19999
Volkswagen,sedan,107,1.8,Petrol,yes,2011,Passat B7,19999
Volkswagen,other,48,2,Diesel,yes,2012,Eos,19999
Audi,vagon,160,2,Petrol,yes,2010,A4 Allroad,19999
BMW,sedan,290,4.8,Petrol,yes,2006,750,19999
Volkswagen,hatch,68,1.4,Petrol,yes,2013,Scirocco,19995
Audi,sedan,127,2.8,Petrol,yes,2010,A6,19990
BMW,other,164,NA,Gas,yes,2004,645,19990
BMW,sedan,1,2,Diesel,yes,2008,320,19990
Mercedes-Benz,other,52,1.8,Petrol,yes,2007,SLK 200,19900
Volkswagen,other,112,2,Petrol,yes,2012,Passat CC,19900
Toyota,sedan,28,1.6,Petrol,yes,2014,Corolla,19900
BMW,other,95,4.5,Petrol,yes,2005,645,19900
BMW,other,218,3,Petrol,yes,2007,335,19900
BMW,other,129,2,Petrol,yes,2008,320,19900
Toyota,crossover,44,2,Petrol,yes,2013,Rav 4,19800
Mitsubishi,crossover,130,2.5,Diesel,yes,2011,Pajero Sport,19800
Mitsubishi,crossover,67,2,Gas,yes,2013,Outlander,19800
Mercedes-Benz,crossover,218,3,Diesel,yes,2006,ML 280,19800
Toyota,crossover,252,4.2,Diesel,yes,2002,Land Cruiser 100,19800
Audi,crossover,172,3.6,Petrol,yes,2007,Q7,19700
Mercedes-Benz,sedan,220,2.2,Diesel,yes,2009,E-Class,19700
Renault,crossover,0,1.5,Diesel,yes,2016,Duster,19692.08
Mercedes-Benz,van,127,1.8,Diesel,yes,2013,B 180,19600
Mercedes-Benz,van,127,1.8,Diesel,yes,2013,B 180,19600
Mercedes-Benz,vagon,127,1.8,Diesel,yes,2013,B 180,19600
Volkswagen,crossover,112,2.5,Diesel,yes,2008,Touareg,19500
Mercedes-Benz,sedan,157,3.5,Petrol,yes,2006,S 350,19500
Audi,crossover,175,3.6,Petrol,yes,2007,Q7,19500
Audi,crossover,186,4.2,Petrol,yes,2006,Q7,19500
Volkswagen,sedan,128,1.8,Petrol,yes,2013,Passat B7,19500
Volkswagen,sedan,82,1.8,Petrol,yes,2011,Passat B7,19500
Mercedes-Benz,crossover,172,3.5,Other,yes,2008,ML 350,19500
Toyota,crossover,150,4,Petrol,yes,2005,Land Cruiser Prado,19500
Mercedes-Benz,sedan,180,3,Diesel,yes,2008,E-Class,19500
BMW,sedan,190,6,Petrol,yes,2004,760,19500
Toyota,crossover,88,2,Petrol,yes,2011,Rav 4,19400
Mitsubishi,crossover,78,2.4,Petrol,yes,2012,Outlander XL,19400
Mitsubishi,crossover,78,NA,Petrol,yes,2012,Outlander XL,19400
Volkswagen,sedan,136,2,Diesel,yes,2011,Passat B7,19300
Audi,sedan,113,1.8,Petrol,yes,2009,A4,19300
Volkswagen,crossover,155,2.5,Diesel,yes,2008,Touareg,19200
Mercedes-Benz,sedan,173,5,Petrol,yes,2007,S 500,19200
Toyota,hatch,54,1.4,Other,yes,2012,Prius,19200
Toyota,crossover,190,2.7,Gas,yes,2005,Land Cruiser Prado,19200
Volkswagen,other,120,1.4,Petrol,yes,2012,Scirocco,19100
Volkswagen,sedan,4,1.6,Other,yes,2016,Jetta,19100
BMW,crossover,215,3,Diesel,yes,2006,X5,19000
Volkswagen,sedan,109,1.8,Petrol,yes,2012,Passat B7,19000
Volkswagen,vagon,185,2,Diesel,yes,2011,Passat B7,19000
Mitsubishi,crossover,139,2.4,Gas,yes,2011,Outlander XL,19000
Toyota,crossover,263,4.2,Diesel,yes,2001,Land Cruiser 100,19000
Mitsubishi,crossover,47,2,Petrol,yes,2012,ASX,19000
Toyota,crossover,95,2,Petrol,yes,2011,Rav 4,18999
Volkswagen,sedan,122,1.8,Petrol,yes,2012,Passat CC,18999
Mitsubishi,crossover,121,3.8,Gas,yes,2008,Pajero Wagon,18999
Mitsubishi,crossover,173,3.8,Gas,yes,2008,Pajero Wagon,18999
Toyota,crossover,153,2.7,Gas,yes,2006,Land Cruiser Prado,18999
Toyota,crossover,95,2,Petrol,yes,2011,Rav 4,18990
Renault,crossover,0,1.5,Diesel,yes,2016,Duster,18988.13
Volkswagen,crossover,149,3,Diesel,yes,2008,Touareg,18950
Toyota,sedan,45,1.8,Petrol,yes,2014,Avensis,18950
Renault,hatch,0,1.5,Diesel,yes,2016,Megane,18932.55
Mercedes-Benz,other,50,3.5,Petrol,yes,2005,SLK 350,18900
Toyota,crossover,90,2,Petrol,yes,2010,Rav 4,18900
Volkswagen,other,45,2,Diesel,yes,2013,Passat B7,18900
Volkswagen,sedan,75,1.8,Petrol,yes,2011,Passat B7,18900
Mitsubishi,crossover,93,3.8,Gas,yes,2008,Pajero Wagon,18900
Mitsubishi,crossover,127,3,Gas,yes,2008,Pajero Wagon,18900
Mitsubishi,crossover,106,3.8,Gas,yes,2007,Pajero Wagon,18900
Toyota,crossover,161,2.7,Gas,yes,2005,Land Cruiser Prado,18900
Volkswagen,hatch,56,2,Petrol,yes,2012,Golf GTI,18900
Mercedes-Benz,sedan,232,3,Diesel,yes,2007,E-Class,18900
Mercedes-Benz,other,111,2.5,Petrol,yes,2009,C-Class,18900
Mercedes-Benz,sedan,320,5,Petrol,yes,1998,S 500,18800
Toyota,crossover,105,2,Gas,yes,2011,Rav 4,18800
Audi,crossover,197,4.2,Petrol,yes,2007,Q7,18800
Volkswagen,vagon,106,1.6,Diesel,yes,2013,Passat B7,18800
Mitsubishi,crossover,47,3,Petrol,yes,2008,Pajero Wagon,18800
Mercedes-Benz,other,90,1.8,Petrol,yes,2008,CLC 180,18800
Toyota,sedan,47,2.4,Petrol,yes,2009,Camry,18800
Toyota,vagon,89,1.8,Petrol,yes,2012,Avensis,18800
BMW,sedan,134,4.4,Petrol,yes,2005,545,18777
BMW,crossover,260,3,Diesel,yes,2006,X5,18700
Mercedes-Benz,other,142,2.2,Diesel,yes,2007,Viano,18700
Volkswagen,other,145,2,Diesel,yes,2011,T5 (Transporter),18700
Mercedes-Benz,sedan,105,5.5,Petrol,yes,2006,S 500,18700
Volkswagen,vagon,196,2,Diesel,yes,2011,Passat B7,18700
Mitsubishi,crossover,97,3.2,Diesel,yes,2009,Pajero Wagon,18700
Mitsubishi,crossover,52,2,Petrol,yes,2013,Outlander XL,18700
Toyota,crossover,250,4.7,Gas,yes,2004,Land Cruiser 100,18700
Audi,sedan,136,2,Diesel,yes,2009,A6,18700
Mitsubishi,crossover,52,2,Petrol,yes,2013,Outlander,18600
Volkswagen,sedan,2,1.6,Petrol,yes,2015,Jetta,18600
Toyota,hatch,73,1.6,Petrol,yes,2013,Auris,18600
BMW,crossover,250,4.4,Gas,yes,2005,X5,18500
Mercedes-Benz,van,170,2.2,Diesel,yes,2010,Vito,18500
Mercedes-Benz,sedan,143,5.5,Petrol,yes,2007,S 550,18500
Audi,crossover,185,3.6,Petrol,yes,2008,Q7,18500
Volkswagen,sedan,217,3,Diesel,yes,2006,Phaeton,18500
Volkswagen,sedan,74,1.8,Petrol,yes,2011,Passat CC,18500
Volkswagen,vagon,125,2,Diesel,yes,2011,Passat B7,18500
Mitsubishi,crossover,135,3,Gas,yes,2009,Pajero Wagon,18500
Mercedes-Benz,crossover,180,3.5,Petrol,yes,2008,ML 350,18500
Mercedes-Benz,crossover,1,3.5,Gas,yes,2006,ML 350,18500
Mercedes-Benz,other,90,1.8,Petrol,yes,2008,C-Class,18500
Audi,sedan,245,3,Diesel,yes,2006,A8,18500
Audi,sedan,137,NA,Petrol,yes,2009,A6,18500
BMW,sedan,79,3,Diesel,no,2012,530,18500
BMW,sedan,114,2,Gas,yes,2008,520,18500
Renault,crossover,1,1.5,Diesel,yes,2016,Duster,18456.16
BMW,crossover,256,3,Diesel,yes,2006,X5,18400
Toyota,crossover,160,4.7,Gas,yes,2003,Land Cruiser 100,18400
Audi,vagon,151,2,Diesel,yes,2010,A4,18400
Volkswagen,van,1,2.2,Diesel,yes,2013,T5 (Transporter),18300
Toyota,crossover,120,2,Petrol,yes,2011,Rav 4,18300
Mercedes-Benz,sedan,155,3,Petrol,yes,2007,C-Class,18300
Toyota,hatch,30,1.6,Petrol,yes,2014,Auris,18300
Audi,vagon,190,2,Diesel,yes,2011,A6,18300
Audi,sedan,125,2,Diesel,yes,2009,A6,18300
Volkswagen,crossover,179,2.5,Diesel,yes,2007,Touareg,18200
Mitsubishi,crossover,147,3.2,Diesel,yes,2008,Pajero Wagon,18200
Toyota,crossover,146,2.7,Gas,yes,2006,Land Cruiser Prado,18200
Volkswagen,hatch,23,1.4,Petrol,yes,2013,Golf VI,18200
Mercedes-Benz,sedan,103,2,Gas,yes,2007,C-Class,18200
BMW,crossover,200,4.8,Petrol,yes,2005,X5,18100
Volkswagen,other,195,2,Diesel,yes,2011,T5 (Transporter),18100
Volkswagen,other,64,2,Petrol,yes,2011,Scirocco,18100
Toyota,hatch,30,1.6,Petrol,yes,2013,Auris,18100
BMW,crossover,280,3,Diesel,yes,2005,X5,18000
Mercedes-Benz,van,147,2.2,Diesel,yes,2013,Vito,18000
Volkswagen,crossover,117,2.5,Diesel,yes,2006,Touareg,18000
Volkswagen,crossover,155,2,Diesel,yes,2011,Tiguan,18000
Volkswagen,sedan,110,2,Diesel,yes,2013,Passat B7,18000
Volkswagen,vagon,18,1.6,Diesel,yes,2011,Passat B7,18000
Mitsubishi,crossover,112,3,Gas,yes,2008,Pajero Wagon,18000
Mitsubishi,crossover,160,3.2,Diesel,yes,2007,Pajero Wagon,18000
